Data,Sentiment
 ভালো ছিলো,1
" শাহনাজ খুশি দ্যা বেস্ট,,,,,",1
 ছেলে দুইটা দারুন অভিনয়,1
 খুবই ভালো,1
 আসলে অনেক সুন্দর,1
 অনেক সুন্দর,1
 অসাধারণ একটি নাটক,1
 ভালো লাগার মত একটি গল্প শামিম ভাই অনেক অনেক শুভকামনা রইলো আপনার জন্য,1
 অসাধারণ একটি নাটক,1
" অসাধারণ একটা নাটক। বড় ছেলের পরে আরেকটা সুন্দর নাটক দেখলাম। বাংলাদেশ যাওয়ার ইচ্ছে আছে। মালদা, কোলকাতা, ভারত।",1
 গল্প টা সুন্দর ছিলো,1
" আপু সবার যেই আকারে ভাইরাল ভিডিও বের হচ্ছে,তোমার জানি বের না হয়,কারন তোমার নাটক দেখতে ভালই  লাগে কিন্তুু ভাইরাল হলে আর কিন্তুু দেখমনি,সো বি কেয়ারফুল অ্যাবাউট ভাইরাল ভিডিও",1
" আমি বাংলা সিনেমা দেখিনা, বাংলা নাটক সব সময় দেখি",1
 নামাজ সত্যিই শান্তি বিলায়মেসেজটা খুব ভালো লাগছে বাই..আমাদের সবার দিনে রাতে  ওয়াক্ত নামাজ আদায় করা উচিৎ এদের মন মেজাজ আর সব থেকে বড় কথা আল্লাহ খুশি হন,1
 অনেক সুন্দর হয়েছে,1
 নিশো ভাই এবং পলাশ ভাই দুজনেই  অসাধারণ,1
 নিশো ভাইয়ের নাটক মানেই অন্যরকম। ভালো লাগলো৷ হার্ট টাচিং ও ছিলো। আর নামাজের বিষয়টাও ভালো ছিলো সবচাইতে। আমাদের সবারই উচিত ৫ ওয়াক্ত নামাজ পড়া,1
 আমার দেখা সেরা নাটক,1
 অনেক অনেক সুন্দর একটা নাটক দেখলাম। নাটকের নাম দেখে বুঝতে পারিনি যে নাটকটি এত সুন্দর হবে? যখন লাইক কমেন্ট দেখলাম তখন বুঝতে পারলাম সুন্দর হবে।,1
 শেষে নামাজের দাওয়াত টা দিয়ে দিল অনেক ভালো লাগলো,1
 হার্ট টা  কেমন জানি চাপা কান্না করতেছে।,1
" অনেক মজা পাইলাম সেই ১৭ মিনিট,,, মেয়েরা  বাবা সংগাতিক",1
 অনেক সুন্দর একটা পরিষ্কার নাটক দেখলাম আর সবার অভিনয় অসাধারণ হয়েছে।সব মিলিয়ে অনেক গুছানো এবং অসাধারণ একটি নাটক,1
 অসাধারণ ছিলো নাটক টা but নিশোর সাথে মিল দিলে আর ভালো লাগতো??  আমার মনে হয়,1
 চিটাগাংইয়া সেরা,1
 সাবিলা নূর এর যায়গায় অন্য কেউ হলে নাটকটা আরও সুন্দর হইতো।,1
 শেষের কথাগুলো খুবি সুন্দর ছিলো স্যার,1
 অনেক দিন পরে ভাল একটা নাটক দেখলাম।,1
 জনই পছন্দের মানুষ অনেক ভালো লাগেনাটক টা অসাধারন,1
 কী যে কমু অসাধারন,1
 বেস্ট ডায়লক> কিছু মানুষ কে ভোলার চেষ্টা করলে আরো বেশি মনে পড়ে যায়।।। তাই তোমাকে ভোলার চেষ্টাই করিনাই।।।,1
 আমাদের দেশের নাটকগুলি এত সুন্দর হয় কেন???,1
 নিশো বস্ বলে কথা অসাধারণ অভিনেতা....,1
 খুব ভাল হয়েছে,1
 ভারত থেকে বলছি খুবই সুন্দর নাটক দেখলাম একটা,1
 বড় ছেলে বিয়ে করল batch  এ এসে। সব কিছু মিলিয়ে নাটকটা বেশ ভালই হলো।,1
 একটা ছেলের সাথে প্রেম করতে তার টাকা পয়সা কে না তার মন টা কে দেখা দরকার তেমনি একটা মেয়ের সাথে প্রেম করতে হলে তার সুন্দর মন দেখা উচিত তার রুপ না,1
 এক কথায় অসাধারন‍‍,1
 মেহজাবিনের ইনোসেন্ট চরিত্র টা অনেক ভাল লাগছে।,1
 অনেক দিন পর একটা ভালো নাটক দেখলাম। ধন্যবাদ পরিচালককে।,1
 আমার দেখা নিশোর সেরা নাটক,1
 নাটকটা অনেক অনেক ভালো লাগলো । অপুর্ব ভাই কখনো রাজনীতিতে যোগ হবেনা । কারন আমরা যারা বাংলা নাটক  পছন্দ করি আমরা চাইনা আমাদের প্রিয় মানুষ গুলা দুই ভাগে বিভক্ত হয়ে যাক,1
" একটা কথা বলবো টেলিফিল্মটি ফিল্ম কেও হার মানাবে। অসম্ভব সুন্দর হয়েছে। লাভ ইউ নিশো & মেহজাবীন। আর হ্যাঁ বুকের বাঁ পাশে ও তুমি আমারই এখানে একটা কথা সবচেয়ে ভালো লেগেছে ""আমি আপনাকে পাগলের মতো ভালোবাসি""। সত্যি পাগলের মতো ভালোবাসি। অনেক অনেক ধন্যবাদ আরিয়ান ভাইকে এতো ভালো কিছু আমাদের উপহার দেওয়ার জন্য। Stay love for Bangla Drama",1
 গ্রামগঞ্জে এখনো অনেক ফ্যামিলি আছে এরকম ঘটনা ঘটে আমি আশা করি তাদেরকে এই নাটকটা দেখার জন্য অসাধারণ একটা নাটক,1
 খুব সুন্দর লাগল,1
" বাংলাদেশএর  নাটক খুব ভালো, যারা ইন্ডিয়া থেকে লাইক দিন",1
"আমার দেখা সেরা নাটকের মধ্যে এটাও একটা অনেক ভালো লাগলো,,,,,,,,,,,,,,,,,তবে নিশো ভাইয়ের সাথে মিল হলে মনটা ভরে যেতোসব নাটকে মিল হয়না ঠিক আছেতবুও মন মানছেনা,,,নাটকের কথা মনে হলেই মনে হবে ধুর নায়ক নায়িকার মিল হয়নিএদিক থেকে মনটা ভরেনি আমার আমি সব সময় নাটকের শেষটা দেখে তারপর শুরু করিযদি দেখি মিল হয়েছে তাহলে পুরোটা দেখিআর যদি মরে যায় বা হাড়িয়ে যায়,,,সেটা ভুলেও দেখিনাকারন নাটকের অভিনয় গুলোআমাকে বাস্তবিক ভাবে শিহরিত করে,,,,তাই ছেকা খাওয়া বা অন্য রকম কোন সিন দেখিনাsorry for বড় কমেন্ট তবে নামাজের কথা গুলো থাকায়,,, নিশো ভাই ও পরিচালক কে সেলুট জানাই",1
 নাটকটা অসাধারন!!.....,1
" খুব ভাল কয়েক বার দেখেছি, মিথিলাকে একটুও ভাল লাগেনি কেমন যেন বুড়ি বুড়ি.............",1
 এ নাটক টাই বেস্ট love u nisho vai,1
 ভিষন ভালো একটা নাটক আফরান নিসুর ভিষন ফ্যান অামি,1
 সত্যি অসাধারণ।সবসময় মিলন দিয়েই যে সব গল্প শেষ হয় তেমনটা না।অনেক অনেক ভাল ছিল কাহিনীটা।,1
 শেষ এর পার্টটা দেখতে দেখতে কখন যে চোখে পানি চলে আসলো বুঝতেও পারিনি।।ভালোবাসাটা এরকমই হয়।।বাইরে থেকে বুঝা যায় না।কিন্তু ভিতরটা ফেটে যায়।।love you Nisho viya and my lovely person Tisha appu.,1
 খুব সুন্দর নাটক।,1
 আফরান নিশো ও তানজিন তিশার নাটক দেখতে অপেক্ষায় থাকি । খুব ভালো লাগলো ।,1
 আরিয়ান ভাই নাটক টা অনেক অনেক ভাল যা কখনো ভুলার না।এই ঈদে এ নাটক টা সেরা হবে। দোয়া করি আরো ভাল ভাল নাটক আমাদের কে উপহার দিতে পারবেন ভাল থাকবেন শোভ কামনা,1
 সত্যি অনেক দিন পরে এত সুন্দর একটা নাটক দেখলাম,1
 আরেটটা পাট্ হলে ভালো হত আর অনেক সুন্দর হইছে,1
 নাটকটা সত্যিই অনেক অসাধারণ হয়েছে। কিন্তু এখানে জিনি  মায়ের অভিনয় বা শাশুড়ির অভিনয় করেছেন ওনার অভিনয়টা একদম বাজে হয়। ওনার চরিত্রের জায়গায় যদি অন্য কোন মা বা অন্য কোনো শাশুরী থাকে তবে আরো অনেক সুন্দর হয় যে কোন নাটক। কারণ  ওনার অভিনয় এর সাথে চেহারার  মিল থাকেনা মনে হয় দুঃখের সময় হাসে সুখের সময় কাদে,1
 অনেক দিন পর  সুন্দর একতা নাটক দেখলাম,1
 খুবই সুন্দর নাটক। নিশোর অভিনয় খুবই ভালো লাগলো। বিশেষ করে যখন সে নামাজ পড়ছিল তখন খুবই ভালো লাগলো।,1
 কাজটা জেরিনের বাবা ভাল করে নাই,1
 শেষের গানটা খুব সুন্দর,1
 খুব সুন্দর হয়েছে।,1
" খুব সুন্দর নাটক,,,, একটা ভুল কলেজ এ কেউ ১০ বছরে যায় না,,,,",1
 এতো ভালো লাগলো বলার বাশা হারিয়ে ফেলছি thanks,1
 কি কবিতা বলল মন প্রাণ দুইটাই জুড়াইয়া গেল।,1
 ভালই লাগতেছে,1
 অসাধারণ একটি নাটক ।মন যাকে ভালোবাসে তার কোন যোগ্যতা  দেখেনা ।শুধু  মন দিয়ে মনকে চিনে নেয় ।,1
 কিছু অসামঞ্জস্যতা আছে...তারপরেও প্রশংসনীয়  আগামী তে আরো ভালো কিছু পাবো সেই প্রত্যাশা রইলো ।,1
 অসাধারণ নাটক,1
" কি বলবো বুঝতে পারছি না। শুধু এটাই বলতে চাই, পুরো দিলটাই ভরে গেলো।",1
 আমি তো দেকেছি এটা চার বার জত দেখি ততো ভাল লাগে,1
" গত বছরের জন্য ছিলো,বোকের বাঁ পাশে, আর এ বছরে তুমি আমারই, সেরা   জুটি আফরান নিশু,মেহ্জাবিন💔 আমি ধন্যবাদ দিয়ে তুমি আমারই নাটকের পুরা টিমকে  ছোট  করতে চাই না এক কথায় অসারণ। গল্গ টা ও যেমন সুন্দর আর আভিনয় টা ও অসারন। i proud of you   Afran Nisho Vi  &  Mehazabien Chowdhury Apu...",1
" বলার ভাষাটাই নেই, আমার কাছে। খুব ভালো হয়েছে নাটকটা।  Indian নাটকের  থেকেও অনেক, অনেক, অনেক ভালো হয়েছে।",1
" খুব ভাল ও,একটা নাটক, আমার খুবই ভালো লেগেছে",1
 ভালো ছিলো,1
 Ohhh.....ভালোবাসা অবিরাম নিশো ভাই....,1
 সুপার ভালো লাগলো,1
 অপুর্র নাটক গুলো অনেক অনেক সুন্দর হয়. সবাই সেরা,1
 ধন্যবাদ ভাই Kajal Arfin ome এমন সুন্দর একটি নাটক দেয়ার জন্য।,1
 সত্যিই নাটকটি দারুণ..........,1
" খুবই দারুণ হয়েছে নাটকটা।।। একটা কথা সব মেয়েদের বলতে চাই, কোনো ছেলেকে কখনো মনে কষ্ট দিবেন না। হয়তো সে আপনাকে খুব ভালোবাসে।কিন্তু আপনার দেওয়া কষ্টে সে আর ফিরে আসবে না। কারণ বাস্তবতা আর নাটকের মধ্যে কিছু সিমাদ্ধ পাথক্য রয়েছে।প্রতিটা ছেলেদেরও একই কথা বলবো।ধন্যবাদ সবাইকে।সবশেষে জোস নাটক ব্রোরো।।।🤗",1
 ভালো লাগার মতো একটা নাটক best of luck,1
 খুব ভালো লাগছে,1
 মিজানুর রহমান আরিয়ান ভাই আপনার নাটক সব সময় অসাধারণ হয়।এটাও ব্যতিকম হয় নি। নিশো ভাই এবং মেহজাবিন আপু দুজনকেই ধন্যবাদ অনেক ভাল হয়েছে,1
 লাভ ইউ নিশো ভাই অসাধারণ এক কথায় অসম্ভব ভালো লেগেছে,1
 খুব ভালো লাগছে,1
 ভালোবাসা এমনে হয়। অসাধারণ নাটক,1
 ভাল লাগলো,1
 ১ ঘন্টা ১৩ মিনিট ১৪ সেকেন্ড হারায় গেছিলাম। এতো সুন্দর উপস্থাপনা ছিলো যে হারায় যেতে বাধ্য হয়েছি। এবারের বেস্ট নাটক হবে এইটা,1
" মোহাইমিনুল দোস্ত নাটকটা তুই আস্তির লিখছোস, ভাল লাগলো দেখে।অল দ্যাে বেস্ট............দোস্ত।",1
 অনেক সুন্দর একটা নাটক দেখলাম.আমাদের কলকাতায় এমন নাটক হয়না,1
 আসলে নাটক  গুলো এতো ভালো লাগে যে ভুলে যাওয়া দিন গুলো মনে করিয়ে দেয়,1
 বাংলাদেশী বাংলা নাটক গ্লোবাল  বিনোদন জগতে বেশ শক্ত একটা জায়গা করে নিয়েছে ইদানিংকালে। সেটা কিন্তু কোনো ভেপের ধোঁয়া বা আধু‌নিক স্কিন টাইট পোষাকের কল্যাণে হয়নি। এই মোশাররফ নিশো তিশা অপুর্বরা এমন কিছু কাজ উপহার দিয়েছে যা স্রেফ আমাদের মন আত্মা রিদয়কে তোলপাড় করে দিয়েছে। বাংলা নাটক দেশজ ঐতিহ্য ও আধুনিক মনন এ দুইয়ে সফল অন্যথা ব্যর্থ।,1
 অসাধারণ একটি নাটক৷,1
 নাটক টাতে আমাদের পাবনা জেলার ভাষা সুন্দর ভাবে তুলে ধরার জন্য অনেক অনেক ধন্যবাদ রইল আপনাদের। এই বিষয় গুলো প্রতি টা পরিবারেই বিদ্যমান। শাহনাজ খুশি আপা খুব সাবলীলভাবে উপস্থাপন করেছেন বিষয় গুলো।,1
 গল্পটা এক কথায় অসাধারন - নিশো বক্তদের দেখতে চাই কে কে আছেন?,1
" স্যলুট আরিয়ান স্যার কে এতো সুন্দর একটি টেলিফিল্ম ::::::,কি কমেন্ট করবো ভাষা হারিয়ে ফেলেছি,অভিনয় থেকে সুরুকরে,সবাই কে অনেক অনেক ধন্যবাদ,,",1
 অসাধারণ নাটক,1
 অসাধারণ নাটক নিশো ভাইকে জানাই হাজারো সালাম তিশার অভিনয়  ছিলো  অনেক সুন্দর আর পরিচালকের কথা না বলেয় নয় সব  মিলিয়ে  জোস একটা নাটক উপহার দিলো আমাদের,1
 দারুন একটা নাটক উপভোগ করলাম।নিশো নিখুঁত ভালোবাসা তোমার জন্যে। তানজিন তিশা চমৎকার অভিনয় করেছ। ভালোবাসা অবিরাম.....,1
" এই ছেলে দুইটা শাহানাজ খুশির যমজ ছেলে,,,",1
 অসাম অনেক সুন্দর,1
 অসম্ভব সুন্দর এই গল্পটা,1
 অসম্ভব সুন্দর একটা  নাটক । খুব ভালো লাগলো। অপূর্ব ও তিশা ফাটাফাটি। ধন্যবাদ শিহাব শাহীনকে।,1
 ধন্যবাদ আরেফিন ওমি সাহেবকে নামাজের  এই সুন্দর দৃশ্যর জন্য।,1
 চমৎকার অভিনয় । আর অসাধারণ গল্প   শেষ পর্যন্ত চোখের পানি ধরে রাখতে পারলাম না ।  আমার দেখা সেরা নাটক এটি ।,1
 অন্যান্যদের সাথে জেরিনের বাবার চরিএটাও Interesting. পুরাই ভিলেন,1
 এক কথা অসাধারণ,1
 অপূর্বর সাথে পলাশ হলে ভালো হইতো,1
" অসাধারণ  নাটক,,,",1
" অসাধারণ  কাহিনি,,গান,,সব মিলিয়ে অতুলনীয়",1
" সব ছেলেরা যদি সবকিছু এত সহজে মেনে নিয়ে লাইফটাকে উন্নতির চরম পর্যায়ে নিয়ে যেতে পারতো তাহলে ছেলেদের মনে না পাওয়ার আক্ষেপ, ক্রোধ এইসব থাকতো না। খুবই বাস্তবধর্মী একটা পরিপূর্ণ নাটক মনে হল",1
 অসাধারন বাস্তবসম্মত চিত্রকাব্য....,1
 অসাধারণ 🙂,1
" এই নাটকটা একবার দেখে মনকে সান্ত্বনা দিতে পারলাম না তাই বারবার দেখতেছি অসাধারণ অসাধারণ অসাধারণ এই কারণে বারবার দেখা হল,,,",1
 তিশা আপ্পি এবং নিশো ভাইয়া পারফেক্ট জুটি।,1
 যতই দেখি ততই ভালো লাগে... কেনো.... অসাধারণ...??,1
 অসাধারণ একটা স্কিপ্ট ছিল,1
